=== campaign 1: sonnet (primary, 18Q) ===
runtime gold: n_verified=157 n_buckley=5
  Q1   C1  miss     cit=0(0bad) 4.6s  aggregation | judge: correct=False halluc_facts=0
  Q6   C2  acc      cit=0(0bad) 7.0s  content | judge: correct=True halluc_facts=0
  Q6   C3  acc      cit=0(0bad) 18.3s  content | judge: correct=False halluc_facts=0
  Q6   C4  acc      cit=2(0bad) 25.5s  content | judge: correct=True halluc_facts=4
  Q7   C1  miss     cit=0(0bad) 14.4s  citation_trap | judge: correct=True halluc_facts=1
  Q7   C2  acc      cit=0(0bad) 10.3s  citation_trap | judge: correct=False halluc_facts=0
  Q7   C3  acc      cit=1(0bad) 5.8s  citation_trap | judge: correct=True halluc_facts=0
  Q7   C4  acc      cit=1(0bad) 27.9s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C1  miss     cit=1(0bad) 17.3s  citation_trap | judge: correct=False halluc_facts=2
  Q8   C2  miss     cit=1(0bad) 11.2s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C3  miss     cit=1(0bad) 11.3s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C4  miss     cit=3(2bad) 19.6s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C1  miss     cit=0(0bad) 18.0s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C2  miss     cit=0(0bad) 8.8s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C3  miss     cit=0(0bad) 13.2s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C4  miss     cit=1(1bad) 25.0s  citation_trap | judge: correct=True halluc_facts=6
  Q10  C1  acc      cit=0(0bad) 11.1s  relational | judge: correct=False halluc_facts=0
  Q10  C2  miss     cit=0(0bad) 5.7s  relational | judge: correct=False halluc_facts=0
  Q10  C3  acc      cit=0(0bad) 13.8s  relational | judge: correct=False halluc_facts=0
  Q10  C4  miss     cit=0(0bad) 20.3s  relational | judge: correct=False halluc_facts=1
  Q11  C1  miss     cit=0(0bad) 4.4s  aggregation | judge: correct=False halluc_facts=0
  Q11  C2  miss     cit=0(0bad) 5.4s  aggregation | judge: correct=False halluc_facts=0
  Q11  C3  miss     cit=0(0bad) 6.4s  aggregation | judge: correct=False halluc_facts=0
  Q11  C4  acc      cit=0(0bad) 7.9s  aggregation | judge: correct=True halluc_facts=0
  Q12  C1  miss     cit=0(0bad) 5.2s  aggregation | judge: correct=False halluc_facts=0
  Q12  C2  miss     cit=0(0bad) 3.7s  aggregation | judge: correct=False halluc_facts=0
  Q12  C3  miss     cit=0(0bad) 4.6s  aggregation | judge: correct=False halluc_facts=0
  Q12  C4  acc      cit=0(0bad) 6.6s  aggregation | judge: correct=True halluc_facts=0
  Q13  C1  miss     cit=0(0bad) 3.8s  aggregation | judge: correct=False halluc_facts=0
  Q13  C2  miss     cit=0(0bad) 3.8s  aggregation | judge: correct=False halluc_facts=0
  Q13  C3  miss     cit=0(0bad) 7.9s  aggregation | judge: correct=False halluc_facts=0
  Q13  C4  acc      cit=0(0bad) 8.1s  aggregation | judge: correct=True halluc_facts=0
  Q14  C1  miss     cit=0(0bad) 5.7s  aggregation | judge: correct=False halluc_facts=0
  Q14  C2  miss     cit=0(0bad) 4.4s  aggregation | judge: correct=False halluc_facts=0
  Q14  C3  miss     cit=0(0bad) 5.1s  aggregation | judge: correct=False halluc_facts=0
  Q14  C4  acc      cit=0(0bad) 6.7s  aggregation | judge: correct=True halluc_facts=0
  Q15  C1  miss     cit=0(0bad) 6.7s  relational | judge: correct=False halluc_facts=0
  Q15  C2  miss     cit=0(0bad) 4.8s  relational | judge: correct=False halluc_facts=0
  Q15  C3  miss     cit=0(0bad) 4.5s  relational | judge: correct=False halluc_facts=0
  Q15  C4  miss     cit=0(0bad) 9.0s  relational | judge: correct=False halluc_facts=1
  Q16  C1  acc      cit=2(0bad) 13.9s  factual | judge: correct=False halluc_facts=0
  Q16  C2  halluc!  cit=3(1bad) 10.1s  factual | judge: correct=False halluc_facts=0
  Q16  C3  miss     cit=3(0bad) 6.4s  factual | judge: correct=False halluc_facts=0
  Q16  C4  miss     cit=2(0bad) 15.6s  factual | judge: correct=False halluc_facts=0
  Q17  C1  acc      cit=1(0bad) 9.9s  factual | judge: correct=True halluc_facts=0
  Q17  C2  acc      cit=1(0bad) 8.0s  factual | judge: correct=True halluc_facts=0
  Q17  C3  miss     cit=1(0bad) 5.2s  factual | judge: correct=False halluc_facts=0
  Q17  C4  acc      cit=1(0bad) 7.1s  factual | judge: correct=True halluc_facts=0
  Q18  C1  halluc!  cit=1(1bad) 16.5s  citation_control | judge: correct=False halluc_facts=0
  Q18  C2  halluc!  cit=1(1bad) 16.2s  citation_control | judge: correct=True halluc_facts=0
  Q18  C3  acc      cit=0(0bad) 18.7s  citation_control | judge: correct=True halluc_facts=0
  Q18  C4  acc      cit=0(0bad) 36.2s  citation_control | judge: correct=False halluc_facts=0

wrote benchmark_results.json  (72 answers, 1320.5s)

=== summary by condition ===
  [programmatic backbone]            [RAGAS / FActScore (LLM-judge)]
cond                acc%  hall%  grnd% |   EM%  relev  faith crecall fact_hall%
no-KB (closed-book)    31      6     83 |    22   0.61   0.91    0.00          8
RAG                   31     11     71 |    28   0.65   0.98    0.11          0
RAG+Obsidian          31      0    100 |    28   0.73   0.98    0.13          2
RAG+TAG+Obsidian      81      0     73 |    78   0.94   0.93    0.71         18

=== campaign 2: haiku (weaker answerer, 18Q) ===
runtime gold: n_verified=157 n_buckley=5
  Q1   C1  miss     cit=0(0bad) 7.3s  aggregation | judge: correct=False halluc_facts=0
  Q1   C2  miss     cit=0(0bad) 8.2s  aggregation | judge: correct=False halluc_facts=0
  Q1   C3  miss     cit=0(0bad) 10.7s  aggregation | judge: correct=False halluc_facts=0
  Q1   C4  miss     cit=0(0bad) 18.7s  aggregation | judge: correct=False halluc_facts=0
  Q2   C1  miss     cit=0(0bad) 8.1s  relational | judge: correct=False halluc_facts=0
  Q2   C2  miss     cit=0(0bad) 8.8s  relational | judge: correct=False halluc_facts=0
  Q2   C3  miss     cit=2(0bad) 25.4s  relational | judge: correct=False halluc_facts=0
  Q2   C4  miss     cit=4(0bad) 24.9s  relational | judge: correct=False halluc_facts=1
  Q3   C1  miss     cit=0(0bad) 7.8s  relational | judge: correct=False halluc_facts=0
  Q3   C2  miss     cit=0(0bad) 7.2s  relational | judge: correct=False halluc_facts=0
  Q3   C3  miss     cit=0(0bad) 7.2s  relational | judge: correct=False halluc_facts=0
  Q3   C4  miss     cit=0(0bad) 21.0s  relational | judge: correct=False halluc_facts=0
  Q4   C1  miss     cit=1(0bad) 7.8s  factual | judge: correct=False halluc_facts=0
  Q4   C2  miss     cit=1(0bad) 6.1s  factual | judge: correct=False halluc_facts=0
  Q4   C3  acc      cit=1(0bad) 9.1s  factual | judge: correct=True halluc_facts=0
  Q4   C4  acc      cit=1(0bad) 17.2s  factual | judge: correct=True halluc_facts=0
  Q5   C1  miss     cit=0(0bad) 7.1s  aggregation | judge: correct=False halluc_facts=0
  Q5   C2  miss     cit=0(0bad) 7.7s  aggregation | judge: correct=False halluc_facts=0
  Q5   C3  miss     cit=0(0bad) 8.9s  aggregation | judge: correct=False halluc_facts=0
  Q5   C4  miss     cit=0(0bad) 16.3s  aggregation | judge: correct=False halluc_facts=0
  Q6   C1  acc      cit=0(0bad) 13.0s  content | judge: correct=True halluc_facts=1
  Q6   C2  acc      cit=0(0bad) 10.2s  content | judge: correct=False halluc_facts=0
  Q6   C3  acc      cit=0(0bad) 10.6s  content | judge: correct=False halluc_facts=0
  Q6   C4  acc      cit=0(0bad) 18.2s  content | judge: correct=False halluc_facts=0
  Q7   C1  miss     cit=0(0bad) 11.9s  citation_trap | judge: correct=False halluc_facts=0
  Q7   C2  acc      cit=0(0bad) 8.3s  citation_trap | judge: correct=True halluc_facts=0
  Q7   C3  acc      cit=1(0bad) 11.9s  citation_trap | judge: correct=True halluc_facts=0
  Q7   C4  acc      cit=1(0bad) 18.7s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C1  halluc!  cit=1(0bad) 9.3s  citation_trap | judge: correct=False halluc_facts=1
  Q8   C2  miss     cit=1(0bad) 9.3s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C3  miss     cit=1(0bad) 11.2s  citation_trap | judge: correct=True halluc_facts=0
  Q8   C4  miss     cit=1(0bad) 19.3s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C1  miss     cit=0(0bad) 10.1s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C2  miss     cit=0(0bad) 9.0s  citation_trap | judge: correct=True halluc_facts=1
  Q9   C3  miss     cit=0(0bad) 10.9s  citation_trap | judge: correct=True halluc_facts=0
  Q9   C4  miss     cit=0(0bad) 15.2s  citation_trap | judge: correct=True halluc_facts=0
  Q10  C1  miss     cit=0(0bad) 9.6s  relational | judge: correct=False halluc_facts=0
  Q10  C2  miss     cit=0(0bad) 8.0s  relational | judge: correct=False halluc_facts=0
  Q10  C3  acc      cit=3(0bad) 11.9s  relational | judge: correct=False halluc_facts=0
  Q10  C4  miss     cit=3(0bad) 19.2s  relational | judge: correct=False halluc_facts=0
  Q11  C1  miss     cit=0(0bad) 5.0s  aggregation | judge: correct=False halluc_facts=0
  Q11  C2  miss     cit=0(0bad) 7.3s  aggregation | judge: correct=False halluc_facts=0
  Q11  C3  miss     cit=0(0bad) 10.7s  aggregation | judge: correct=False halluc_facts=0
  Q11  C4  miss     cit=0(0bad) 14.8s  aggregation | judge: correct=False halluc_facts=0
  Q12  C1  miss     cit=0(0bad) 6.8s  aggregation | judge: correct=False halluc_facts=0
  Q12  C2  miss     cit=0(0bad) 9.0s  aggregation | judge: correct=False halluc_facts=0
  Q12  C3  miss     cit=0(0bad) 7.7s  aggregation | judge: correct=False halluc_facts=0
  Q12  C4  miss     cit=0(0bad) 12.5s  aggregation | judge: correct=False halluc_facts=0
  Q13  C1  miss     cit=0(0bad) 6.9s  aggregation | judge: correct=False halluc_facts=0
  Q13  C2  miss     cit=0(0bad) 9.9s  aggregation | judge: correct=False halluc_facts=0
  Q13  C3  miss     cit=0(0bad) 10.7s  aggregation | judge: correct=False halluc_facts=0
  Q13  C4  acc      cit=0(0bad) 14.2s  aggregation | judge: correct=True halluc_facts=0
  Q14  C1  miss     cit=0(0bad) 7.6s  aggregation | judge: correct=False halluc_facts=0
  Q14  C2  miss     cit=0(0bad) 7.5s  aggregation | judge: correct=False halluc_facts=0
  Q14  C3  acc      cit=4(0bad) 11.3s  aggregation | judge: correct=False halluc_facts=0
  Q14  C4  miss     cit=0(0bad) 16.0s  aggregation | judge: correct=False halluc_facts=0
  Q15  C1  miss     cit=0(0bad) 9.0s  relational | judge: correct=False halluc_facts=0
  Q15  C2  miss     cit=0(0bad) 8.5s  relational | judge: correct=False halluc_facts=0
  Q15  C3  miss     cit=0(0bad) 13.7s  relational | judge: correct=False halluc_facts=0
  Q15  C4  acc      cit=0(0bad) 19.7s  relational | judge: correct=False halluc_facts=0
  Q16  C1  miss     cit=2(0bad) 6.0s  factual | judge: correct=False halluc_facts=0
  Q16  C2  miss     cit=2(0bad) 8.2s  factual | judge: correct=False halluc_facts=0
  Q16  C3  miss     cit=2(0bad) 10.7s  factual | judge: correct=False halluc_facts=0
  Q16  C4  miss     cit=4(0bad) 13.9s  factual | judge: correct=False halluc_facts=0
  Q17  C1  acc      cit=1(0bad) 8.5s  factual | judge: correct=False halluc_facts=0
  Q17  C2  acc      cit=1(0bad) 10.6s  factual | judge: correct=False halluc_facts=0
  Q17  C3  miss     cit=5(0bad) 8.4s  factual | judge: correct=False halluc_facts=0
  Q17  C4  miss     cit=5(0bad) 16.4s  factual | judge: correct=False halluc_facts=0
  Q18  C1  acc      cit=0(0bad) 10.5s  citation_control | judge: correct=True halluc_facts=0
  Q18  C2  acc      cit=0(0bad) 11.4s  citation_control | judge: correct=False halluc_facts=0
  Q18  C3  acc      cit=0(0bad) 12.6s  citation_control | judge: correct=False halluc_facts=0
  Q18  C4  acc      cit=0(0bad) 21.3s  citation_control | judge: correct=False halluc_facts=0

wrote benchmark_results_haiku.json  (72 answers, 1344.8s)

=== summary by condition ===
  [programmatic backbone]            [RAGAS / FActScore (LLM-judge)]
cond                acc%  hall%  grnd% |   EM%  relev  faith crecall fact_hall%
no-KB (closed-book)    19      6    100 |    17   0.46   0.94    0.00          5
RAG                   25      0    100 |    17   0.54   0.98    0.02          2
RAG+Obsidian          38      0    100 |    22   0.72   0.99    0.11          0
RAG+TAG+Obsidian      38      0    100 |    28   0.80   0.99    0.29          2
=== BOTH DONE exit 0 ===
